,id,fullname,tweet_id,url,timestamp,replies,retweets,likes,hashtags,tweet_class,user,query,text
0,1501,ＲＹＡＮ,975080566113685504,/Rkzeix/status/975080566113685504,2018-03-17 18:44:57,0,0,0,#television,2,Rkzeix,The Walking Dead,The Walking Dead Top 20 Villains https://anysource.co.uk/the-walking-dead-top-20-villains?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #television
1,1502,Pinklillies,975080520861171712,/PinkLilliesx/status/975080520861171712,2018-03-17 18:44:46,0,0,0,,2,PinkLilliesx,The Walking Dead,My thoughts exactly aha
2,1503,♕ Nina ♕ #Camila,975080433271627776,/SweetKaki97/status/975080433271627776,2018-03-17 18:44:26,0,0,0,,0,SweetKaki97,The Walking Dead,"The walking dead is real
Sinu sou eu 
pic.twitter.com/nxD9JbYdBQ"
3,1504,queen daenerys   📚 👬 😻,975080415445778433,/cefalexforte/status/975080415445778433,2018-03-17 18:44:21,1,0,0,,2,cefalexforte,The Walking Dead,"Nop, Fear the Walking Dead"
4,1505,HOSPICIO NERD,975080402485481478,/HospicioNerd/status/975080402485481478,2018-03-17 18:44:18,0,0,0,,2,HospicioNerd,The Walking Dead,Novo teaser de Fear The Walking Dead destacando a Madison http://HospicioNerd.com.br/novo-teaser-de-fear-the-walking-dead-destacando-a-madison/ …pic.twitter.com/eprXO6z1vL
5,1506,Thomas Stevenson,975080394398883846,/thomassteven_81/status/975080394398883846,2018-03-17 18:44:16,0,0,0,"#FreeAugmentedRealityApps, #ArApps",2,thomassteven_81,The Walking Dead,"#FreeAugmentedRealityApps, #ArApps The Walking Dead: Our World AR Game Shows Off New Gameplay Footage https://goo.gl/CeNoU8 pic.twitter.com/kOGFrrfzf3"
6,1507,محمد التميمي,975080083135311873,/Sir_52/status/975080083135311873,2018-03-17 18:43:02,0,0,0,,2,Sir_52,The Walking Dead,The Walking Dead
7,1508, 😼ZiK 💀DraKulL 🎮,975080036867850241,/ZiK_DraKulL/status/975080036867850241,2018-03-17 18:42:51,0,0,0,,-1,ZiK_DraKulL,The Walking Dead,Me gustó un video de @YouTube http://youtu.be/x1Pqy2Tytgw?a  Why People Stopped Watching The Walking Dead
8,1509,Jonathan Hoover,975079755908288512,/jonhoover3443/status/975079755908288512,2018-03-17 18:41:44,0,0,0,,2,jonhoover3443,The Walking Dead,I should’ve taken some pics out in the concourse. Was like a real life Walking Dead episode.
9,1510,emirdöküm 35 1/2,975079744520761347,/Emirdokum1912/status/975079744520761347,2018-03-17 18:41:41,0,0,1,,2,Emirdokum1912,The Walking Dead,The Walking Dead https://twitter.com/bbcturkce/status/975070275225243649 …
10,1511,Ληgǝł,975079740913737734,/angelmqz5/status/975079740913737734,2018-03-17 18:41:40,0,1,0,,1,angelmqz5,The Walking Dead," The Walking Dead
 The Walking Dead
 The Walking Dead
 The Walking Dead
 The Walking Dead
 The Walking Dead
 Las fascinantes aventuras de Ricardo y sus amigos contra unos zombies a todo gas"
11,1512,DarkSwan,975079721267548162,/Swan_OUAT_/status/975079721267548162,2018-03-17 18:41:36,0,0,0,#TWD #tvtime,0,Swan_OUAT_,The Walking Dead,Encore un peu de fantaisie S08E11 of The Walking Dead! #TWD #tvtime https://tvtime.com/r/lz1Y pic.twitter.com/6KKiy9sEja
12,1513,Jerry Travone  🇺🇸,975079659447578624,/JerryTravone/status/975079659447578624,2018-03-17 18:41:21,0,0,0,,-1,JerryTravone,The Walking Dead,I liked a @YouTube video http://youtu.be/x1Pqy2Tytgw?a  Why People Stopped Watching The Walking Dead
13,1514,shiloh,975079630322520064,/kccontroI/status/975079630322520064,2018-03-17 18:41:14,0,0,1,,2,kccontroI,The Walking Dead,parece the walking dead https://twitter.com/cmilaprfect/status/975071233430745088 …
